Customer_ID,Gender,Age,City_Category,Stay_In_Current_City_Years,Marital_Status,Purchase
10078,M,26-35,B,1,0,145095
10079,M,18-25,B,1,0,42229
10080,F,26-35,C,1,0,21402
10081,M,26-35,B,3,1,198222
10082,F,46-50,B,0,1,349230
10083,M,46-50,C,1,1,6942
10084,M,26-35,B,1,0,1587
10085,F,0-17,C,0,0,50803
10086,M,26-35,A,4+,1,21405
10087,M,26-35,B,2,0,265089
10088,F,36-45,B,2,0,156932
10089,F,18-25,B,4+,1,6590
10090,M,36-45,C,1,1,15719
10091,F,18-25,C,3,1,93647
10092,M,26-35,B,2,1,74497
10093,M,18-25,B,3,1,47685
10094,M,26-35,A,3,0,30171
10095,M,26-35,A,4+,0,243877
10096,M,46-50,A,0,1,173622
10097,M,46-50,B,0,0,21405
10098,M,26-35,C,2,1,96227
10099,M,55+,C,1,0,94532
10100,M,18-25,B,4+,1,123355
10101,M,36-45,B,0,0,375189
10102,F,18-25,A,0,0,312051
10103,M,26-35,C,1,0,14748
10104,F,26-35,C,0,0,40662
10105,F,51-55,C,1,1,59400
10106,M,55+,C,3,0,72265
10107,M,36-45,A,1,1,22247
10108,M,51-55,C,1,1,51171
10109,M,18-25,A,3,0,97791
10110,M,26-35,B,2,0,196333
10111,M,51-55,A,1,1,4166
10112,F,51-55,C,1,0,29086
10113,M,46-50,B,3,1,42721
10114,M,36-45,C,0,1,54666
10115,M,46-50,B,2,1,29782
10116,F,36-45,C,1,0,3503
10117,M,26-35,C,4+,1,22852
10118,M,26-35,C,1,1,199519
10119,M,26-35,B,1,0,94420
10120,M,18-25,A,1,0,153250
10121,M,36-45,B,1,1,261277
10122,M,26-35,B,3,1,79611
10123,M,18-25,C,0,0,10006
10124,F,26-35,B,1,1,125774
10125,M,18-25,B,0,0,189009
10126,M,36-45,C,3,1,76886
10127,F,26-35,B,4+,0,39929
10128,M,26-35,B,4+,1,188154
10129,M,18-25,C,1,0,71965
10130,M,18-25,B,0,0,130840
10131,F,26-35,C,2,1,76061
10132,F,36-45,C,1,0,9056
10133,M,26-35,B,0,0,458359
10134,F,26-35,A,1,1,109779
10135,F,0-17,C,0,0,29210
10136,M,26-35,B,0,0,58844
10137,F,26-35,A,1,0,181712
10138,F,46-50,C,2,1,97400
10139,F,26-35,B,1,0,33239
10140,M,26-35,C,0,1,83753
10141,F,26-35,B,1,0,55797
10142,M,46-50,A,3,0,27653
10143,M,26-35,C,2,1,15740
10144,M,51-55,A,0,1,65374
10145,M,26-35,C,1,0,111568
10146,M,0-17,C,1,0,7109
10147,F,26-35,B,2,1,56300
10148,F,0-17,C,2,0,96182
10149,M,0-17,C,1,0,52711
10150,M,18-25,B,2,1,178454
10151,M,26-35,C,4+,1,55817
10152,M,36-45,B,4+,0,31180
10153,M,36-45,A,3,0,18124
10154,F,55+,A,1,0,79518
10155,M,0-17,C,4+,0,70655
10156,M,55+,B,4+,1,15613
10157,F,18-25,A,2,0,92645
10158,M,26-35,C,3,0,8276
10159,M,55+,C,1,1,20428
10160,M,18-25,B,2,1,86319
10161,M,36-45,C,2,0,87788
10162,M,26-35,C,4+,0,72567
10163,M,26-35,C,1,1,82842
10164,F,26-35,A,2,0,5262
10165,M,26-35,A,1,1,120005
10166,F,36-45,A,4+,0,38065
10167,M,26-35,B,4+,0,69616
10168,M,55+,A,1,1,7742
10169,M,36-45,C,1,0,14849
10170,M,26-35,B,0,0,40484
10171,M,18-25,C,0,0,70276
10172,M,55+,C,4+,1,12282
10173,F,26-35,A,1,1,163109
10174,M,55+,B,2,1,37069
10175,M,51-55,A,2,1,37793
10176,F,26-35,A,1,0,63996
10177,M,46-50,C,0,1,20751
10178,F,26-35,C,2,1,8362
10179,M,36-45,B,0,0,461707
10180,M,26-35,B,1,0,69643
10181,M,18-25,C,1,0,56423
10182,M,18-25,C,2,0,83527
10183,M,26-35,C,3,1,5331
10184,M,36-45,B,1,0,49164
10185,M,18-25,A,1,1,107636
10186,F,26-35,A,0,0,39231
10187,M,18-25,B,2,0,2061
10188,F,36-45,B,1,0,38510
10189,M,26-35,C,3,1,8793
10190,M,46-50,C,0,0,44855
10191,M,26-35,B,1,0,130426
10192,F,18-25,C,2,0,8032
10193,M,18-25,A,4+,0,208890
10194,M,46-50,A,4+,0,100473
10195,F,36-45,A,2,0,42178
10196,M,51-55,B,1,1,204360
10197,M,55+,C,1,1,61011
10198,M,36-45,C,0,1,65142
10199,M,46-50,B,0,1,282270
10200,F,18-25,B,0,1,113115
10201,F,18-25,C,1,0,43497
10202,M,26-35,C,2,1,9916
10203,F,36-45,B,2,1,53157
10204,F,26-35,B,2,0,269149
10205,M,26-35,C,3,0,190404
10206,F,18-25,C,3,0,13577
10207,M,51-55,C,4+,1,8503
10208,F,36-45,C,3,1,16162
10209,F,36-45,A,4+,1,55632
10210,M,26-35,C,1,1,61326
10211,M,26-35,B,0,0,132068
10212,M,18-25,B,1,0,14581
10213,M,26-35,B,2,0,231175
10214,F,18-25,C,1,0,142344
10215,M,26-35,A,1,0,59492
10216,M,26-35,C,1,1,19910
10217,M,55+,C,2,1,31862
10218,F,51-55,C,4+,1,7562
10219,M,26-35,C,1,1,135266
10220,F,26-35,B,1,0,85026
10221,M,26-35,C,3,1,8309
10222,M,0-17,B,4+,0,47876
10223,F,55+,C,2,1,115480
10224,M,36-45,A,1,0,114809
10225,M,55+,C,2,0,35118
10226,M,26-35,C,4+,1,38222
10227,F,46-50,C,1,0,54243
10228,M,0-17,B,1,0,116332
10229,M,46-50,B,1,1,79096
10230,M,0-17,B,4+,0,24632
10231,M,36-45,C,2,0,9748
10232,M,26-35,C,0,0,54245
10233,M,18-25,C,2,0,16977
10234,M,46-50,C,4+,0,68570
10235,M,36-45,C,3,0,10030
10236,M,55+,A,2,1,28308
10237,F,18-25,B,4+,0,151618
10238,M,36-45,A,3,0,51683
10239,M,26-35,C,1,1,63780
10240,M,36-45,C,0,1,43885
10241,F,26-35,C,1,1,18869
10242,M,26-35,B,2,1,32551
10243,M,18-25,A,1,0,86550
10244,M,51-55,A,1,1,88816
10245,M,55+,C,3,0,108605
10246,F,46-50,A,3,0,88025
10247,M,18-25,C,3,0,49739
10248,F,55+,C,0,1,711
10249,F,55+,C,3,0,60920
10250,M,18-25,B,1,0,9461
10251,M,0-17,B,1,0,49275
10252,M,26-35,B,1,1,143361
10253,M,18-25,A,1,1,84307
10254,M,26-35,C,4+,0,40019
10255,M,26-35,A,1,1,19644
10256,F,26-35,C,1,1,14786
10257,M,0-17,C,2,0,4417
10258,M,55+,C,1,1,17716
10259,M,36-45,A,1,1,188705
10260,M,26-35,C,2,1,100300
10261,M,26-35,C,0,0,66636
10262,M,26-35,C,2,1,22936
10263,M,26-35,B,3,1,139301
10264,F,55+,C,3,1,14217
10265,F,26-35,B,0,1,97828
10266,M,26-35,A,2,0,124355
10267,M,26-35,C,4+,0,59074
10268,M,26-35,B,1,0,182787
10269,F,26-35,C,2,0,6674
10270,F,55+,B,4+,0,148966
10271,M,18-25,A,1,1,33643
10272,F,18-25,C,0,0,100893
10273,F,26-35,B,1,1,78684
10274,F,36-45,B,0,0,15650
10275,M,51-55,B,2,1,97476
10276,F,51-55,B,1,1,28785
10277,M,26-35,A,3,0,319620
10278,M,36-45,B,1,0,64128
10279,F,36-45,B,2,1,65653
10280,M,46-50,A,3,1,196826
10281,M,26-35,C,2,1,80509
10282,F,51-55,C,0,0,74741
10283,M,55+,B,3,0,29278
10284,M,36-45,C,4+,0,100500
10285,M,26-35,B,1,0,260622
10286,M,26-35,A,4+,0,82103
10287,M,46-50,C,1,0,39232
10288,M,36-45,C,2,0,7225
10289,F,18-25,C,1,1,40655
10290,M,0-17,C,0,0,239607
10291,F,26-35,C,1,0,8575
10292,M,26-35,A,1,0,38703
10293,M,46-50,B,4+,1,25595
10294,F,36-45,C,4+,0,26042
10295,F,36-45,C,1,0,13984
10296,M,36-45,C,1,0,26249
10297,M,36-45,C,0,1,127992
10298,M,26-35,C,3,1,88642
10299,M,26-35,A,0,1,45761
10300,M,26-35,C,3,0,6599
10301,F,26-35,C,3,0,36599
10302,M,55+,C,2,1,23274
10303,M,51-55,B,3,1,46230
10304,M,26-35,B,1,1,50076
10305,M,36-45,A,3,0,25850
10306,F,26-35,B,2,1,20370
10307,F,26-35,C,0,0,24612
10308,M,18-25,A,2,0,2046
10309,M,0-17,C,1,0,56099
10310,M,0-17,C,4+,0,6818
10311,F,36-45,C,3,0,16799
10312,F,18-25,C,1,0,50803
10313,M,26-35,C,2,1,72461
10314,M,55+,C,1,0,52315
10315,F,0-17,C,3,0,3108
10316,F,0-17,C,1,0,45364
10317,F,26-35,C,1,0,37735
10318,M,36-45,C,0,0,23394
10319,M,36-45,C,2,1,5329
10320,M,18-25,B,4+,0,130451
10321,F,26-35,B,3,0,92987
10322,M,55+,C,4+,1,34364
10323,M,0-17,C,0,0,16648
10324,M,26-35,C,2,1,96348
10325,M,26-35,C,1,0,5205
10326,M,18-25,B,1,0,225519
10327,F,51-55,C,0,1,16984
10328,M,26-35,A,1,1,59521
10329,M,26-35,C,2,1,136320
10330,M,36-45,B,3,0,247041
10331,M,26-35,A,3,0,170000
10332,M,36-45,C,2,0,38650
10333,M,36-45,B,2,1,93070
10334,M,26-35,A,1,1,67425
10335,M,26-35,B,1,1,130630
10336,M,26-35,B,1,1,100950
10337,M,46-50,B,3,1,245523
10338,M,36-45,C,4+,0,147641
10339,M,36-45,B,0,1,50640
10340,M,36-45,C,4+,1,113763
10341,M,26-35,C,1,1,18643
10342,F,26-35,A,4+,0,34729
10343,F,26-35,B,3,0,18431
10344,M,18-25,B,1,0,51194
10345,M,26-35,B,1,0,19833
10346,M,26-35,C,1,0,11901
10347,F,36-45,C,2,1,18165
10348,M,26-35,B,0,0,45155
10349,M,26-35,B,2,0,462667
10350,M,26-35,B,2,0,50130
10351,M,36-45,C,3,0,61946
10352,M,36-45,A,1,0,169764
10353,M,26-35,B,3,0,276328
10354,M,18-25,C,1,0,14050
10355,M,26-35,B,4+,0,21033
10356,F,18-25,C,4+,0,18698
10357,M,26-35,C,2,0,30324
10358,M,26-35,B,1,1,163187
10359,F,26-35,B,4+,0,10992
10360,F,55+,B,3,0,67607
10361,F,26-35,A,1,1,73635
10362,M,18-25,B,0,1,12960
10363,F,26-35,A,2,0,9637
10364,F,18-25,B,0,0,172854
10365,M,36-45,C,2,1,22381
10366,M,26-35,B,4+,0,13889
10367,M,18-25,B,1,0,291912
10368,F,26-35,C,0,1,29843
10369,M,26-35,B,1,1,35192
10370,F,26-35,C,3,0,16513
10371,M,46-50,A,3,1,37099
10372,M,46-50,B,2,1,74958
10373,M,36-45,C,2,0,41182
10374,M,36-45,C,4+,0,37845
10375,M,26-35,B,4+,0,15376
10376,M,26-35,A,4+,1,97152
10377,M,26-35,C,1,1,38825
10378,M,0-17,C,2,0,27166
10379,M,26-35,C,1,0,96964
10380,M,26-35,B,3,1,116493
10381,M,26-35,C,2,0,17569
10382,F,26-35,A,4+,1,30149
10383,M,51-55,B,3,1,134139
10384,M,0-17,C,2,0,9066
10385,M,36-45,C,1,1,3541
10386,M,36-45,A,1,1,119740
10387,F,18-25,B,2,0,16981
10388,F,26-35,B,4+,1,63756
10389,M,26-35,B,2,1,48899
10390,M,36-45,B,3,0,121210
10391,F,26-35,C,1,0,22238
10392,M,26-35,C,1,0,31101
10393,F,26-35,C,0,0,179739
10394,M,26-35,B,1,0,386052
10395,M,36-45,B,1,0,34021
10396,M,26-35,B,2,0,175813
10397,M,51-55,C,2,0,18816
10398,F,26-35,A,1,0,116439
10399,F,36-45,C,0,0,33721
10400,M,18-25,C,1,0,10018
10401,F,26-35,C,3,0,35695
10402,M,51-55,B,1,1,18017
10403,M,51-55,C,4+,0,56445
10404,F,26-35,A,1,0,21390
10405,F,18-25,C,0,0,41823
10406,M,36-45,C,3,0,21934
10407,M,18-25,C,0,0,11485
10408,M,36-45,C,0,1,73536
10409,M,18-25,C,4+,0,30169
10410,M,26-35,C,4+,0,27539
10411,M,36-45,C,1,0,21848
10412,M,26-35,C,1,0,72629
10413,F,26-35,A,1,0,19279
10414,M,18-25,B,4+,0,123784
10415,F,36-45,B,4+,1,402925
10416,M,26-35,B,2,0,90321
10417,F,55+,C,3,1,5924
10418,M,36-45,C,2,1,43754
10419,M,46-50,C,2,1,38351
10420,M,26-35,C,4+,0,15972
10421,M,36-45,A,0,0,142415
10422,M,36-45,A,4+,1,156174
10423,M,36-45,C,1,1,22113
10424,M,18-25,C,1,0,22321
10425,M,36-45,A,1,0,33487
10426,M,55+,B,2,0,10108
10427,M,36-45,B,4+,0,97374
10428,M,36-45,C,3,0,94430
10429,M,18-25,B,4+,0,75562
10430,F,26-35,B,2,1,241690
10431,M,18-25,B,0,0,138213
10432,F,26-35,A,1,0,212442
10433,M,0-17,C,0,0,15921
10434,M,26-35,A,1,0,30081
10435,M,26-35,A,1,0,28257
10436,F,26-35,C,1,0,13412
10437,F,36-45,B,2,0,29978
10438,M,18-25,C,2,0,4432
10439,M,36-45,B,1,0,291028
10440,M,18-25,A,3,0,107928
10441,M,26-35,C,1,0,209862
10442,M,51-55,B,1,0,169135
10443,M,26-35,A,3,1,79360
10444,M,36-45,C,1,0,47716
10445,M,18-25,C,2,0,7871
10446,M,51-55,B,1,1,155155
10447,F,18-25,C,2,0,18893
10448,M,36-45,B,1,0,239954
10449,M,36-45,A,3,0,55778
10450,M,55+,B,0,1,91844
10451,F,18-25,A,2,0,84632
10452,F,26-35,C,4+,0,18112
10453,M,18-25,A,1,0,30086
10454,M,26-35,C,3,0,30304
10455,M,0-17,C,4+,0,12625
10456,M,18-25,C,4+,0,213629
10457,M,26-35,C,2,1,26028
10458,M,36-45,B,1,0,87199
10459,M,26-35,B,1,1,104137
10460,M,36-45,B,4+,0,240330
10461,M,26-35,A,0,1,166710
10462,M,26-35,B,2,1,189615
10463,M,26-35,C,4+,0,116373
10464,F,46-50,B,1,0,76086
10465,F,18-25,B,3,0,50413
10466,M,46-50,B,2,1,200358
10467,M,26-35,A,3,0,107013
10468,F,26-35,B,1,0,54619
10469,F,36-45,A,1,1,122908
10470,M,18-25,B,4+,0,87129
10471,M,0-17,C,4+,0,115382
10472,M,26-35,C,3,0,11762
10473,M,46-50,C,1,0,73745
10474,F,36-45,B,1,1,25952
10475,M,26-35,C,2,0,22474
10476,M,26-35,C,1,0,61987
10477,M,36-45,C,3,0,27942
10478,M,0-17,A,3,0,117623
10479,M,51-55,C,0,1,10811
10480,F,26-35,C,1,1,21150
10481,F,26-35,C,0,1,147413
10482,M,46-50,C,4+,1,67859
10483,M,26-35,C,4+,0,24995
10484,M,55+,C,2,0,23823
10485,F,26-35,B,1,0,23001
10486,M,55+,C,0,1,11071
10487,M,51-55,C,0,1,66720
10488,M,51-55,C,4+,0,72563
10489,M,36-45,B,1,0,68177
10490,M,55+,C,2,1,27778
10491,M,51-55,C,1,1,10331
10492,M,36-45,B,1,0,27337
10493,F,26-35,A,1,0,16919
10494,M,26-35,C,1,0,122268
10495,M,55+,C,1,1,31313
10496,M,26-35,A,2,0,153194
10497,M,36-45,C,2,1,85588
10498,F,26-35,A,1,0,283290
10499,F,46-50,C,2,1,9205
10500,M,26-35,C,1,0,24382
10501,M,46-50,B,2,1,136001
10502,M,36-45,C,4+,0,91302
10503,M,18-25,C,1,0,78635
10504,M,46-50,A,1,1,42051
10505,M,18-25,C,2,1,22248
10506,F,26-35,C,1,1,49184
10507,M,26-35,B,1,0,84906
10508,M,46-50,C,1,1,12487
10509,M,18-25,A,4+,0,22057
10510,M,26-35,C,2,1,2857
10511,M,46-50,C,1,0,70479
10512,M,36-45,C,3,1,69253
10513,F,26-35,B,2,1,6145
10514,M,36-45,A,2,0,20641
10515,M,36-45,B,1,1,165100
10516,M,26-35,C,1,1,16596
10517,M,36-45,C,1,0,18981
10518,M,36-45,A,1,0,361893
10519,M,36-45,C,4+,0,57607
10520,M,18-25,C,1,0,29518
10521,M,36-45,C,1,0,68805
10522,M,55+,C,1,1,10668
10523,M,55+,B,3,0,29902
10524,M,36-45,A,1,1,484572
10525,M,36-45,B,2,0,65457
10526,M,51-55,C,1,1,11678
10527,M,18-25,A,2,0,18884
10528,M,26-35,C,2,1,45324
10529,F,36-45,C,3,0,102855
10530,F,26-35,A,1,0,34196
10531,M,26-35,B,1,0,110289
10532,M,55+,C,3,1,35806
10533,M,26-35,C,2,1,59113
10534,M,36-45,C,4+,0,27053
10535,F,18-25,B,3,0,29460
10536,M,26-35,B,3,0,244436
10537,M,18-25,B,0,0,120199
10538,M,26-35,C,3,1,34094
10539,F,36-45,B,1,1,45491
10540,M,26-35,B,2,1,37898
10541,M,26-35,C,1,0,72322
10542,F,26-35,C,1,1,104260
10543,F,46-50,B,1,1,70120
10544,M,51-55,C,1,1,37624
10545,M,18-25,C,1,0,40526
10546,F,55+,C,4+,0,36620
10547,F,26-35,A,3,1,437791
10548,M,51-55,B,2,1,176352
10549,M,46-50,B,3,1,161042
10550,F,36-45,C,4+,0,1366
10551,M,18-25,B,2,0,41489
10552,M,26-35,C,1,0,22230
10553,F,36-45,C,1,0,5689
10554,M,26-35,C,3,1,12045
10555,M,36-45,A,1,0,49763
10556,M,26-35,C,0,0,30036
10557,M,18-25,A,1,0,100301
10558,F,46-50,C,2,1,1354
10559,F,51-55,C,1,1,22831
10560,M,0-17,C,1,0,24387
10561,M,36-45,C,3,0,53333
10562,M,26-35,B,4+,0,53789
10563,F,36-45,A,3,0,31112
10564,M,51-55,C,2,0,46106
10565,M,26-35,B,4+,0,29074
10566,M,26-35,C,1,1,78081
10567,F,18-25,C,3,1,72456
10568,M,51-55,A,4+,0,82225
10569,F,18-25,C,3,0,5125
10570,M,26-35,B,2,1,79669
10571,F,18-25,A,4+,0,56967
10572,M,18-25,C,2,0,109528
10573,M,26-35,B,1,0,465071
10574,F,26-35,B,0,0,8557
10575,F,26-35,B,1,0,153845
10576,M,18-25,B,1,1,133978
10577,M,26-35,C,4+,1,104206
10578,M,26-35,B,1,0,47387
10579,M,36-45,C,1,1,5003
10580,F,18-25,B,0,0,51780
10581,M,51-55,B,1,1,38376
10582,M,46-50,C,2,1,7766
10583,M,36-45,C,4+,1,104752
10584,M,46-50,C,3,1,18597
10585,M,36-45,C,1,0,45390
10586,F,46-50,C,0,1,55093
10587,M,36-45,C,3,0,30547
10588,F,51-55,C,1,1,26479
10589,M,36-45,B,1,0,99426
10590,F,26-35,A,1,1,27842
10591,M,18-25,C,4+,1,15875
10592,M,55+,C,2,0,73228
10593,M,46-50,C,2,0,59258
10594,F,26-35,B,3,1,19736
10595,M,26-35,C,2,0,56425
10596,M,26-35,C,1,1,8036
10597,F,36-45,C,0,1,60207
10598,M,26-35,B,1,0,417022
10599,M,51-55,C,0,1,43189
10600,M,0-17,A,0,0,80315
10601,F,18-25,A,0,0,128031
10602,F,26-35,C,1,0,9777
10603,M,26-35,A,1,0,123595
10604,M,26-35,B,4+,0,133010
10605,F,18-25,B,0,0,29467
10606,F,26-35,B,2,1,47397
10607,F,36-45,C,4+,0,18000
10608,M,36-45,C,0,0,20203
10609,F,26-35,C,1,1,8359
10610,F,26-35,C,3,1,5193
10611,M,18-25,C,1,0,30673
10612,M,26-35,B,1,0,225685
10613,F,36-45,C,1,1,19661
10614,M,18-25,A,1,0,221846
10615,M,26-35,A,1,0,95943
10616,M,18-25,A,0,0,671762
10617,M,26-35,B,1,0,100844
10618,M,51-55,C,1,1,63316
10619,M,46-50,B,1,0,499755
10620,F,51-55,B,3,0,34088
10621,F,55+,C,1,1,9998
10622,M,46-50,B,2,1,48161
10623,F,26-35,A,3,1,62310
10624,M,0-17,C,4+,0,36651
10625,M,26-35,B,1,1,21300
10626,M,26-35,A,0,1,70054
10627,M,36-45,C,0,1,60606
10628,M,55+,C,1,1,137103
10629,F,26-35,B,2,0,23173
10630,M,46-50,C,2,0,30901
10631,M,18-25,A,3,0,39087
10632,M,18-25,C,1,0,284530
10633,M,26-35,C,1,1,36994
10634,M,26-35,A,2,1,147694
10635,M,26-35,A,2,0,119722
10636,M,26-35,B,1,1,74542
10637,F,55+,C,1,1,21845
10638,M,26-35,A,1,0,35013
10639,M,36-45,C,2,1,88402
10640,M,46-50,C,4+,0,120922
10641,F,18-25,B,2,0,118764
10642,F,36-45,B,2,0,26233
10643,M,36-45,C,1,0,39221
10644,M,18-25,B,1,1,17971
10645,M,18-25,A,0,0,52317
10646,M,0-17,C,0,0,11118
10647,M,36-45,C,1,1,80230
10648,M,26-35,C,2,0,55409
10649,M,18-25,C,3,0,36059
10650,M,51-55,C,4+,1,66173
10651,F,26-35,C,2,0,109220
10652,M,36-45,C,1,1,71372
10653,M,51-55,C,1,1,7156
10654,M,26-35,C,2,0,10402
10655,M,36-45,C,3,0,22647
10656,M,18-25,C,4+,0,40186
10657,F,36-45,C,3,1,45935
10658,M,36-45,A,1,1,404679
10659,M,18-25,B,3,0,171666
10660,M,36-45,C,4+,0,38060
10661,M,26-35,C,1,1,5387
10662,F,0-17,C,1,0,2089
10663,M,18-25,A,1,0,407696
10664,F,0-17,A,1,0,36514
10665,M,26-35,B,2,1,77587
10666,M,26-35,C,1,0,10685
10667,M,51-55,A,1,1,126973
10668,F,18-25,C,1,0,104824
10669,F,26-35,B,1,0,68970
10670,M,36-45,C,3,0,14627
10671,M,18-25,C,4+,0,110121
10672,M,51-55,C,2,1,5986
10673,F,55+,C,0,1,5369
10674,F,36-45,C,1,1,5096
10675,F,36-45,B,3,1,160304
10676,M,26-35,A,0,0,241055
10677,M,18-25,C,1,0,16028
10678,F,26-35,B,1,0,13211
10679,F,36-45,C,1,1,113778
10680,M,55+,C,3,1,62037
10681,M,51-55,A,1,1,18853
10682,M,26-35,B,3,0,28728
10683,M,26-35,C,0,0,12803
10684,M,18-25,B,2,0,142928
10685,M,46-50,C,0,0,9416
10686,F,26-35,C,2,0,40675
10687,M,36-45,C,3,0,214948
10688,M,55+,B,1,0,24311
10689,M,18-25,B,4+,1,88603
10690,M,18-25,B,4+,0,395473
10691,F,26-35,B,1,1,27701
10692,F,0-17,C,3,0,36714
10693,M,55+,C,2,1,42868
10694,M,26-35,A,4+,0,180065
10695,M,18-25,B,1,0,2400
10696,M,26-35,A,1,1,78815
10697,M,18-25,C,2,0,68703
10698,F,36-45,B,1,1,65208
10699,F,55+,C,1,1,27106
10700,M,26-35,A,1,1,57553
10701,M,26-35,C,4+,0,75564
10702,M,26-35,B,3,1,51674
10703,M,51-55,A,1,1,33548
10704,M,36-45,C,2,1,15859
10705,M,18-25,C,4+,0,21250
10706,M,18-25,B,1,0,245371
10707,F,26-35,B,1,1,271971
10708,M,46-50,C,0,1,51831
10709,F,36-45,C,1,0,132659
10710,M,36-45,B,3,0,200429
10711,M,36-45,C,3,0,9183
10712,M,51-55,C,2,1,114139
10713,M,51-55,B,0,1,72589
10714,M,26-35,B,2,1,193018
10715,F,51-55,C,1,0,67990
10716,F,36-45,B,1,0,13265
10717,F,46-50,B,1,1,13408
10718,M,18-25,C,4+,0,83451
10719,F,0-17,C,3,0,40396
10720,M,51-55,C,1,1,19880
10721,M,26-35,C,4+,1,63236
10722,M,51-55,B,3,1,89898
10723,F,51-55,C,2,0,20623
10724,M,51-55,C,1,1,21873
10725,F,46-50,C,4+,1,6688
10726,M,26-35,C,4+,0,203503
10727,M,26-35,A,0,0,126736
10728,M,36-45,C,1,1,19290
10729,F,51-55,C,1,1,14975
10730,M,26-35,A,3,0,168054
10731,M,51-55,C,4+,1,14250
10732,F,36-45,B,1,0,148479
10733,M,46-50,C,4+,1,262909
10734,M,18-25,A,1,0,15925
10735,M,26-35,C,3,1,73474
10736,M,18-25,C,2,1,54599
10737,M,26-35,A,4+,0,49439
10738,M,36-45,C,1,0,67725
10739,M,18-25,A,1,0,15817
10740,M,55+,C,1,0,12803
10741,M,26-35,C,4+,1,134138
10742,F,26-35,A,0,0,114826
10743,M,18-25,C,1,1,20172
10744,M,46-50,C,2,1,77000
10745,M,18-25,B,2,0,522007
10746,M,26-35,C,3,0,77796
10747,M,26-35,B,3,0,138621
10748,M,18-25,C,2,0,42401
10749,M,26-35,A,4+,0,22691
10750,M,51-55,A,1,1,100155
10751,M,18-25,B,3,0,108082
10752,M,36-45,A,1,0,507584
10753,M,18-25,C,4+,0,10124
10754,M,18-25,C,2,0,155270
10755,M,26-35,A,1,0,78918
10756,M,26-35,C,4+,0,30721
10757,M,46-50,B,1,1,353314
10758,M,36-45,B,1,0,88667
10759,M,51-55,C,2,1,20487
10760,M,26-35,C,3,1,5424
10761,M,26-35,C,1,1,61448
10762,F,26-35,B,4+,1,252851
10763,M,26-35,A,3,1,46818
10764,F,18-25,C,4+,0,89816
10765,M,18-25,C,3,1,70265
10766,M,51-55,C,1,1,8828
10767,M,26-35,C,1,1,90060
10768,F,18-25,A,1,0,40157
