obsno,wage,educ,exper,female,married
327,6.25,16,11,0,0
328,5.25,12,4,0,0
329,4.79,12,12,1,1
330,3.35,7,35,1,0
331,3,8,33,0,1
332,8.43,16,8,0,1
333,5.7,16,2,0,0
334,11.98,18,8,0,1
335,3.5,13,29,1,1
336,4.24,10,14,0,1
337,7,16,26,1,1
338,6,14,11,1,1
339,12.22,16,10,0,0
340,4.5,12,13,0,1
341,3,9,23,1,1
342,2.9,11,1,0,0
343,15,11,35,0,1
344,4,12,5,0,1
345,5.25,11,13,0,1
346,4,12,22,0,1
347,3.3,12,21,1,1
348,5.05,12,19,1,1
349,3.58,12,13,0,0
350,5,14,15,0,1
351,4.57,14,3,0,1
352,12.5,18,6,0,0
353,3.45,12,6,1,1
354,4.63,12,16,1,0
355,10,12,31,0,1
356,2.92,11,1,1,0
357,4.51,12,5,0,0
358,6.5,17,3,0,1
359,7.5,16,11,0,1
360,3.54,13,6,1,1
361,4.2,13,11,1,1
362,3.51,12,7,1,1
363,4.5,14,5,0,1
364,3.35,14,5,1,1
365,2.91,11,2,0,0
366,5.25,10,44,0,1
367,4.05,8,44,0,1
368,3.75,14,13,1,1
369,3.4,12,26,1,1
370,3,10,2,1,0
371,6.29,17,10,0,1
372,2.54,9,2,1,0
373,4.5,12,35,1,1
374,3.13,12,6,1,1
375,6.36,14,8,0,1
376,4.68,16,1,0,0
377,6.8,12,14,0,1
378,8.53,10,14,0,1
379,4.17,0,22,1,0
380,3.75,14,8,1,1
381,11.1,15,1,1,0
382,3.26,16,15,1,1
383,9.13,12,14,0,1
384,4.5,11,37,0,1
385,3,11,1,1,0
386,8.75,12,4,0,1
387,4.14,13,29,1,1
388,2.87,12,45,1,1
389,3.35,13,22,1,0
390,6.08,16,42,0,0
391,3,15,9,0,0
392,4.2,16,8,1,1
393,5.6,15,31,1,0
394,10,12,24,0,1
395,12.5,18,16,0,1
396,3.76,6,6,0,0
397,3.1,6,14,1,0
398,4.29,12,47,1,1
399,10.92,12,34,0,1
400,7.5,16,6,1,1
401,4.05,9,7,1,1
402,4.65,12,27,0,1
403,5,11,24,0,1
404,2.9,10,18,1,1
405,8,12,12,1,0
406,8.43,8,27,0,1
407,2.92,9,49,1,0
408,6.25,17,4,1,0
409,6.25,16,24,1,1
410,5.11,11,3,0,0
411,4,10,2,1,0
412,4.44,8,29,0,1
413,6.88,13,34,0,1
414,5.43,14,10,0,1
415,3,13,5,1,0
416,2.9,11,2,1,0
417,6.25,7,39,0,1
418,4.34,16,5,1,0
419,3.25,12,14,1,1
420,7.26,13,8,0,0
421,6.35,14,10,1,1
422,5.63,16,2,0,1
423,8.75,14,9,0,1
424,3.2,11,1,0,0
425,3,8,45,1,1
426,3,14,33,1,1
427,12.5,17,21,0,1
428,2.88,10,2,1,0
429,3.35,12,9,0,1
430,6.5,12,33,0,1
431,10.38,18,16,0,1
432,4.5,14,10,0,1
433,10,18,9,0,0
434,3.81,12,8,1,1
435,8.8,16,9,0,1
436,9.42,14,23,1,1
437,6.33,12,23,0,1
438,4,9,22,0,0
439,2.9,12,37,1,1
440,20,12,22,0,1
441,11.25,17,28,0,1
442,3.5,12,14,1,0
443,6,15,19,1,1
444,14.38,17,10,0,1
445,6.36,16,25,0,1
446,3.55,12,21,1,1
447,3,15,32,0,1
448,4.5,16,21,0,1
449,6.63,12,36,1,0
450,9.3,15,2,0,1
451,3,12,11,1,1
452,3.25,12,40,1,0
453,1.5,12,11,1,1
454,5.9,12,9,1,1
455,8,16,23,0,0
456,2.9,11,1,1,0
457,3.29,14,30,0,0
458,6.5,14,41,0,1
459,4,13,6,1,0
460,6,14,11,0,1
461,4.08,12,43,1,1
462,3.75,12,39,1,1
463,3.05,8,50,1,0
464,3.5,12,26,1,1
465,2.92,3,51,0,0
466,4.5,11,3,0,0
467,3.35,15,3,1,1
468,5.95,11,15,0,1
469,8,12,17,0,1
470,3,4,36,0,1
471,5,9,31,0,1
472,5.5,12,9,0,1
473,2.65,12,42,1,1
474,3,11,3,1,0
475,4.5,12,37,1,1
476,17.5,16,23,0,1
477,8.18,13,21,0,0
478,9.09,15,11,0,1
479,11.82,16,35,0,1
480,3.25,12,42,1,1
481,4.5,12,3,0,0
482,4.5,12,13,0,1
483,3.71,9,14,0,1
484,6.5,10,14,0,1
485,2.9,12,39,1,1
486,5.6,11,11,0,1
487,2.23,8,28,0,1
488,5,6,18,1,1
489,8.33,16,6,0,1
490,2.9,12,26,1,0
491,6.25,12,21,0,1
492,4.55,16,34,0,1
493,3.28,12,17,1,0
494,2.3,10,2,1,0
495,3.3,13,5,1,0
496,3.15,13,1,1,0
497,12.5,14,40,0,1
498,5.15,16,39,1,0
499,3.13,10,1,0,0
500,7.25,12,14,0,1
501,2.9,12,2,1,0
502,1.75,11,2,0,0
503,2.89,0,42,1,1
504,2.9,5,34,1,1
505,17.71,16,10,0,1
506,6.25,16,4,0,1
507,2.6,9,4,0,0
508,6.63,15,21,1,1
509,3.5,12,31,1,0
510,6.5,12,20,0,1
511,3,12,36,1,0
512,4.38,13,7,0,1
513,10,12,15,0,0
514,4.95,7,25,0,1
515,9,17,7,1,1
516,1.43,12,17,1,1
517,3.08,12,3,0,0
518,9.33,14,12,0,1
519,7.5,12,18,0,1
520,4.75,13,47,0,1
521,5.65,12,2,0,0
522,15,16,14,1,1
523,2.27,10,2,1,0
524,4.67,15,13,0,1
525,11.56,16,5,0,1
526,3.5,14,5,1,0
